nruf2,ppgf2,dcfsn,pyear,total,nr_score,pol_score,le_score,pop_score,nr_remaining_pct,max_pol,le_late,pop_2100_B,crash_ratio
0.2,0.1,3.0,1975,0.8833816560248415,0.9928440354804671,0.7772489107479686,1.0,0.6847438025485827,29.78532106441401,3.336506535512188,72.8787054720073,3.080745063398257,0.8890625981148428
0.1,0.1,3.0,1985,0.8753361811292798,1.0,0.7283583132867024,1.0,0.7121912476217948,48.2788967385445,3.629850120279785,72.81986000906387,3.1325759175074532,0.9094001440047785
0.25,0.1,4.0,1985,0.8724321976229764,0.6954162333763898,0.9301217198041333,1.0,1.0,20.862487001291694,2.4192696811752006,63.21917711311287,9.386834890031412,1.0
0.1,0.1,3.0,1975,0.8706518232286578,1.0,0.7121258667339048,1.0,0.713427088056576,56.961040790071685,3.727244799596571,72.78660685433002,3.137541559910155,0.9095364309080327
0.1,0.1,4.0,1995,0.865701174476473,1.0,0.5523372482549103,1.0,1.0,31.806945707422685,4.685976510470538,69.36661033516192,11.048283471441147,1.0
0.1,0.1,2.5,1975,0.8635121027958519,1.0,0.9397732465790604,1.0,0.21053419214755884,64.25709024326424,2.3613605205256376,75.66749877461322,1.4437371116701796,0.5833034018333254
0.2,0.1,2.5,1975,0.8634237265020667,1.0,0.9397732465790604,1.0,0.20994501685565728,47.0448689373759,2.3613605205256376,75.6694081804489,1.4418862141503865,0.582417710344404
0.2,0.1,4.0,1985,0.8633355605984808,0.7481150381684815,0.8383176574650414,1.0,1.0,22.443451145054443,2.9700940552097514,67.27435779476941,10.052219744118034,1.0
0.25,0.1,2.5,1975,0.8632724443588874,1.0,0.9397732465790604,1.0,0.20893646923446213,38.45702262357846,2.3613605205256376,75.67286775534956,1.4388889063789405,0.580827243321417
0.1,0.15,2.5,1975,0.8623233927018384,1.0,0.9358822447181405,1.0,0.2103914619093084,64.26162298021653,2.384706531691157,75.63625166227938,1.4431874813895023,0.5831299526150083
0.2,0.15,2.5,1975,0.8622351611604706,1.0,0.9358822447181405,1.0,0.20980325163352334,47.05392787033822,2.384706531691157,75.63819776583584,1.4413392146338126,0.5822453160322182
0.25,0.15,2.5,1975,0.8620841013061226,1.0,0.9358822447181405,1.0,0.20879618593786953,38.46838853157203,2.384706531691157,75.6418074992291,1.4383418739461193,0.5806580194040603
0.25,0.1,4.0,1975,0.8570628618728663,0.6847663393775325,0.8913154769690994,1.0,1.0,20.542990181325973,2.6521071381854036,64.35981241363932,9.524074289540092,1.0
0.2,0.1,4.0,1975,0.8441055453697562,0.7432791283318596,0.7798595015120178,1.0,1.0,22.298373849955787,3.3208429909278934,67.69372238164007,10.165514593206094,1.0
0.25,0.25,2.5,1975,0.840071991635953,1.0,0.8626633556785597,1.0,0.2084865662159018,38.492559911191684,2.824019865928642,75.57365033156172,1.4371442845094617,0.5802801248646073
0.1,0.25,2.5,1975,0.8400099158089839,1.0,0.8616592145933434,1.0,0.21008100953987338,64.27119816658055,2.83004471243994,75.56763034538412,1.4419995986410625,0.5827491484404109
0.2,0.25,2.5,1975,0.839921991735325,1.0,0.8616592231328114,1.0,0.2094948319698769,47.073065224749996,2.830044661203132,75.56966387004513,1.4401565557457041,0.5818668286696144
0.2,0.1,4.0,1995,0.8310659543580109,0.7631385117508392,0.7132249174840575,1.0,1.0,22.894155352525175,3.720650495095655,65.8951905306945,9.879838788282228,1.0
0.1,0.1,2.0,1975,0.8303783083914484,1.0,0.9055745351241881,1.0,0.05803965236127974,68.83730073549505,2.566552789254872,77.23611309644697,0.6261763646968631,0.37075594438558657
0.2,0.1,2.0,1975,0.8303761301600951,1.0,0.9055745351241881,1.0,0.058025130818924464,58.61189335946661,2.566552789254872,77.23906987764089,0.6261062778596288,0.3707046734448079
0.25,0.1,2.0,1975,0.8303645344104578,1.0,0.9055745351241881,1.0,0.0579478258213424,53.529952355593615,2.566552789254872,77.25048710217459,0.6257119168365278,0.3704441246017165
0.1,0.15,2.0,1975,0.8293453222103548,1.0,0.9021489269826876,1.0,0.05800429410365773,68.83995733658121,2.587106438103875,77.22542504512587,0.6259700547177743,0.3706521976027088
0.2,0.15,2.0,1975,0.8293432988854826,1.0,0.9021489269826876,1.0,0.05799080527117629,58.61797365555498,2.587106438103875,77.2287707290144,0.6259027243865644,0.37060586581093413
0.25,0.15,2.0,1975,0.8293315916466587,1.0,0.9021489269826876,1.0,0.057912757012349506,53.53799872291921,2.587106438103875,77.23976194444184,0.625506690155778,0.37034140752628397
0.5,0.1,2.0,1975,0.8284443915560912,0.9954122200641315,0.9055745351241881,1.0,0.055851693309259216,29.862366601923945,2.566552789254872,77.34570034156361,0.6154129874785471,0.3630192696328572
0.5,0.15,2.0,1975,0.8275642225450032,0.9958458816468521,0.9021489269826876,1.0,0.0558232391586591,29.87537644940556,2.587106438103875,77.33336072321319,0.6152398089677643,0.36293645726415585
0.1,0.25,2.0,1975,0.8268368967257089,1.0,0.893822627501579,1.0,0.05793405650156883,68.84612694061504,2.637064234990526,77.20427891072006,0.6255565206448678,0.37044810238311526
0.2,0.25,2.0,1975,0.8268348974466032,1.0,0.893822627501579,1.0,0.057920727974197055,58.63311132167147,2.637064234990526,77.20718506113482,0.6254912885249025,0.37040150062388005
0.25,0.25,2.0,1975,0.8268233562343343,1.0,0.893822627501579,1.0,0.05784378655907187,53.551502007802256,2.637064234990526,77.21775948185918,0.6251031156483838,0.3701391665538177
0.5,0.25,2.0,1975,0.8253704403140443,0.9967398121793292,0.893822627501579,1.0,0.0557647853387022,29.902194365379874,2.637064234990526,77.30859502963357,0.6148845956828867,0.3627658635797842
0.2,0.15,4.0,1995,0.8237394564066137,0.7692714367423941,0.6816481784892527,1.0,1.0,23.07814310227182,3.910110929064483,65.44704640204777,9.821658586764356,1.0
0.1,0.1,4.0,1985,0.817176946391489,1.0,0.39058982130496345,1.0,1.0,37.02753057855058,5.656461072170219,67.08727127241696,10.865477129229445,1.0
0.25,0.15,4.0,1995,0.8132162012450964,0.7161077188486867,0.7085949988268536,1.0,1.0,21.4832315654606,3.7484300070388783,60.70322935189409,9.066093283133613,1.0
0.25,0.1,4.0,1995,0.8129281942444812,0.7113163399978968,0.7132249174840575,1.0,1.0,21.339490199936904,3.720650495095655,61.038661045247956,9.113113400148894,1.0
0.1,0.15,4.0,2005,0.8088106021990722,0.9802254144206154,0.38577235717285585,1.0,1.0,29.40676243261846,5.685365856962865,70.51678444013812,10.910663866442242,1.0
0.1,0.1,4.0,2005,0.8085680572952035,0.9736319062292303,0.3926563003832433,1.0,1.0,29.208957186876912,5.64406219770054,70.98430975034701,10.962343681282565,1.0
0.25,0.15,4.0,1985,0.8061923271381407,0.7013013314808818,0.7024562037327733,1.0,1.0,21.039039944426452,3.7852627776033607,62.828328284712846,9.335908595996438,1.0
0.1,0.5,2.0,1975,0.8035087164672774,1.0,0.8161500312759755,1.0,0.05775804722989886,68.86418519373272,3.103099812344147,77.14452665284809,0.624521314683928,0.3699348340681078
0.2,0.5,2.0,1975,0.8035067358573807,1.0,0.8161500312759755,1.0,0.057744843163921304,58.66560266955371,3.103099812344147,77.14711536709218,0.6244577462333888,0.36988791323177456
0.25,0.5,2.0,1975,0.8034955304825696,1.0,0.8161500312759755,1.0,0.057670140665180225,53.597878351245875,3.103099812344147,77.15756988449326,0.6240788594153738,0.36963367558519516
0.5,0.5,2.0,1975,0.8029054142480866,0.9990365201265308,0.8163360289701236,1.0,0.055612156751759005,29.971095603795924,3.1019838261792585,77.2431583912285,0.6139553364204204,0.36232053670873066
0.1,0.1,4.0,1975,0.7970163815727705,1.0,0.32338793857590187,1.0,1.0,41.468494318314654,6.059672368544589,66.08356767504043,10.774608679964343,1.0
0.5,0.1,4.0,1975,0.7940190892104709,0.5548972915355251,1.0,0.7490251858651861,1.0,16.646918746065754,1.5544201034768155,44.941511151911165,6.430188683857314,1.0
0.1,0.1,2.5,1985,0.7934643831855669,1.0,0.7062759127859952,1.0,0.2105440623317891,54.38845935033275,3.7623445232840287,75.668982728551,1.4428812037925565,0.5836767761015454
0.2,0.1,2.5,1985,0.793193163600826,1.0,0.7062759127859952,1.0,0.20873593176685012,38.32634744981694,3.7623445232840287,75.67641133724501,1.437291275006367,0.5809147676511859
0.25,0.1,2.5,1985,0.7925434874502852,1.0,0.7062759127859952,1.0,0.20440475742991174,30.369526274020647,3.7623445232840287,75.68914945143666,1.423273137079064,0.574463894820371
0.2,0.1,3.0,1985,0.7922050073079495,0.7518788630884237,0.7730654731356199,1.0,0.6475184219087686,22.55636589265271,3.3616071611862806,73.00191614909689,2.999129580374678,0.8636084631299923
0.1,0.15,2.5,1985,0.7919323885023231,1.0,0.701246553085288,1.0,0.2103894838449109,54.39222574352796,3.7925206814882713,75.63774306037706,1.4423366473088421,0.5834684551278991
0.2,0.15,2.5,1985,0.7916612217445598,1.0,0.701246553085288,1.0,0.20858170545982296,38.33398020140557,3.7925206814882713,75.64552619286574,1.4367436062853167,0.5807068277105014
0.25,0.15,2.5,1985,0.791012308599018,1.0,0.701246553085288,1.0,0.20425561782287807,30.379003555173455,3.7925206814882713,75.65863085408975,1.4227375629011814,0.5742608423337593
0.5,0.15,4.0,1975,0.7896200053407608,0.5575145562175888,0.9833142801093816,0.7474781331589512,1.0,16.725436686527665,2.1001143193437106,44.84868798953707,6.4172116285702385,1.0
0.1,0.1,3.0,1995,0.7884884881417314,1.0,0.4475871198796987,1.0,0.6947490145188128,35.91868684141727,5.314477280721808,72.92871825986877,3.0951227319101924,0.8978629601418616
0.1,0.25,2.5,1985,0.78822378330854,1.0,0.6890516079137767,1.0,0.2100553395627144,54.40020064789082,3.86569035251734,75.56912893687635,1.4411590438032094,0.5830177882612587
0.2,0.25,2.5,1985,0.7879537314375696,1.0,0.6890516079137767,1.0,0.2082549937562447,38.349939379704324,3.86569035251734,75.57772835180332,1.4355819617709769,0.5802663987205164
0.25,0.25,2.5,1985,0.7873058063497069,1.0,0.6890516079137767,1.0,0.20393549317049398,30.398970142401865,3.86569035251734,75.59174968927523,1.4215872911890564,0.5738247505010163
0.1,0.15,3.0,1995,0.7861990182105055,1.0,0.44063785744139494,1.0,0.6933844065205799,35.93365998292511,5.35617285535163,72.82491558692759,3.0921702071243513,0.8969550316771362
0.25,0.15,4.0,1975,0.7818886143447881,0.6912776447682031,0.6331381289197233,1.0,1.0,20.73832934304609,4.20117122648166,63.94237189174149,9.470439707597157,1.0
0.2,0.15,3.0,1975,0.7784046942046368,0.9942278616477692,0.42644823120156417,1.0,0.6832698217829889,29.826835849433074,5.441310612790615,72.75846333167988,3.0773534807203644,0.8881265360819651
0.2,0.15,4.0,1985,0.7777074932975784,0.7553148451052683,0.5444909917024485,1.0,1.0,22.65944535315805,4.733054049785309,66.79130642211199,9.990500464257744,1.0
0.5,0.1,4.0,1985,0.7741165307922117,0.5644600711950816,0.9301217198041333,0.7375949496634655,1.0,16.933802135852446,2.4192696811752006,44.25569697980793,6.3565076737207775,1.0
0.5,0.15,4.0,1985,0.7736920715070204,0.5669818583352921,0.9267995439527058,0.7360427895192817,1.0,17.009455750058763,2.439202736283765,44.162567371156904,6.342778259906706,1.0
